ID_DIA,NOMBRE_DIA,ID_MES,NOMBRE_MES,ID_TRIMESTRE,NOMBRE_TRIMESTRE,ID_ANYO,NOMBRE_ANYO
1,01/01/2010,1,Enero,1,T1,1,2010
2,02/01/2010,1,Enero,1,T1,1,2010
3,03/01/2010,1,Enero,1,T1,1,2010
4,04/01/2010,1,Enero,1,T1,1,2010
5,05/01/2010,1,Enero,1,T1,1,2010
6,06/01/2010,1,Enero,1,T1,1,2010
7,07/01/2010,1,Enero,1,T1,1,2010
8,08/01/2010,1,Enero,1,T1,1,2010
9,09/01/2010,1,Enero,1,T1,1,2010
10,10/01/2010,1,Enero,1,T1,1,2010
11,11/01/2010,1,Enero,1,T1,1,2010
12,12/01/2010,1,Enero,1,T1,1,2010
13,13/01/2010,1,Enero,1,T1,1,2010
14,14/01/2010,1,Enero,1,T1,1,2010
15,15/01/2010,1,Enero,1,T1,1,2010
16,16/01/2010,1,Enero,1,T1,1,2010
17,17/01/2010,1,Enero,1,T1,1,2010
18,18/01/2010,1,Enero,1,T1,1,2010
19,19/01/2010,1,Enero,1,T1,1,2010
20,20/01/2010,1,Enero,1,T1,1,2010
21,21/01/2010,1,Enero,1,T1,1,2010
22,22/01/2010,1,Enero,1,T1,1,2010
23,23/01/2010,1,Enero,1,T1,1,2010
24,24/01/2010,1,Enero,1,T1,1,2010
25,25/01/2010,1,Enero,1,T1,1,2010
26,26/01/2010,1,Enero,1,T1,1,2010
27,27/01/2010,1,Enero,1,T1,1,2010
28,28/01/2010,1,Enero,1,T1,1,2010
29,29/01/2010,1,Enero,1,T1,1,2010
30,30/01/2010,1,Enero,1,T1,1,2010
31,31/01/2010,1,Enero,1,T1,1,2010
32,01/02/2010,2,Febrero,1,T1,1,2010
33,02/02/2010,2,Febrero,1,T1,1,2010
34,03/02/2010,2,Febrero,1,T1,1,2010
35,04/02/2010,2,Febrero,1,T1,1,2010
36,05/02/2010,2,Febrero,1,T1,1,2010
37,06/02/2010,2,Febrero,1,T1,1,2010
38,07/02/2010,2,Febrero,1,T1,1,2010
39,08/02/2010,2,Febrero,1,T1,1,2010
40,09/02/2010,2,Febrero,1,T1,1,2010
41,10/02/2010,2,Febrero,1,T1,1,2010
42,11/02/2010,2,Febrero,1,T1,1,2010
43,12/02/2010,2,Febrero,1,T1,1,2010
44,13/02/2010,2,Febrero,1,T1,1,2010
45,14/02/2010,2,Febrero,1,T1,1,2010
46,15/02/2010,2,Febrero,1,T1,1,2010
47,16/02/2010,2,Febrero,1,T1,1,2010
48,17/02/2010,2,Febrero,1,T1,1,2010
49,18/02/2010,2,Febrero,1,T1,1,2010
50,19/02/2010,2,Febrero,1,T1,1,2010
51,20/02/2010,2,Febrero,1,T1,1,2010
52,21/02/2010,2,Febrero,1,T1,1,2010
53,22/02/2010,2,Febrero,1,T1,1,2010
54,23/02/2010,2,Febrero,1,T1,1,2010
55,24/02/2010,2,Febrero,1,T1,1,2010
56,25/02/2010,2,Febrero,1,T1,1,2010
57,26/02/2010,2,Febrero,1,T1,1,2010
58,27/02/2010,2,Febrero,1,T1,1,2010
59,28/02/2010,2,Febrero,1,T1,1,2010
60,01/03/2010,3,Marzo,1,T1,1,2010
61,02/03/2010,3,Marzo,1,T1,1,2010
62,03/03/2010,3,Marzo,1,T1,1,2010
63,04/03/2010,3,Marzo,1,T1,1,2010
64,05/03/2010,3,Marzo,1,T1,1,2010
65,06/03/2010,3,Marzo,1,T1,1,2010
66,07/03/2010,3,Marzo,1,T1,1,2010
67,08/03/2010,3,Marzo,1,T1,1,2010
68,09/03/2010,3,Marzo,1,T1,1,2010
69,10/03/2010,3,Marzo,1,T1,1,2010
70,11/03/2010,3,Marzo,1,T1,1,2010
71,12/03/2010,3,Marzo,1,T1,1,2010
72,13/03/2010,3,Marzo,1,T1,1,2010
73,14/03/2010,3,Marzo,1,T1,1,2010
74,15/03/2010,3,Marzo,1,T1,1,2010
75,16/03/2010,3,Marzo,1,T1,1,2010
76,17/03/2010,3,Marzo,1,T1,1,2010
77,18/03/2010,3,Marzo,1,T1,1,2010
78,19/03/2010,3,Marzo,1,T1,1,2010
79,20/03/2010,3,Marzo,1,T1,1,2010
80,21/03/2010,3,Marzo,1,T1,1,2010
81,22/03/2010,3,Marzo,1,T1,1,2010
82,23/03/2010,3,Marzo,1,T1,1,2010
83,24/03/2010,3,Marzo,1,T1,1,2010
84,25/03/2010,3,Marzo,1,T1,1,2010
85,26/03/2010,3,Marzo,1,T1,1,2010
86,27/03/2010,3,Marzo,1,T1,1,2010
87,28/03/2010,3,Marzo,1,T1,1,2010
88,29/03/2010,3,Marzo,1,T1,1,2010
89,30/03/2010,3,Marzo,1,T1,1,2010
90,31/03/2010,3,Marzo,1,T1,1,2010
91,01/04/2010,4,Abril,2,T2,1,2010
92,02/04/2010,4,Abril,2,T2,1,2010
93,03/04/2010,4,Abril,2,T2,1,2010
94,04/04/2010,4,Abril,2,T2,1,2010
95,05/04/2010,4,Abril,2,T2,1,2010
96,06/04/2010,4,Abril,2,T2,1,2010
97,07/04/2010,4,Abril,2,T2,1,2010
98,08/04/2010,4,Abril,2,T2,1,2010
99,09/04/2010,4,Abril,2,T2,1,2010
100,10/04/2010,4,Abril,2,T2,1,2010
101,11/04/2010,4,Abril,2,T2,1,2010
102,12/04/2010,4,Abril,2,T2,1,2010
103,13/04/2010,4,Abril,2,T2,1,2010
104,14/04/2010,4,Abril,2,T2,1,2010
105,15/04/2010,4,Abril,2,T2,1,2010
106,16/04/2010,4,Abril,2,T2,1,2010
107,17/04/2010,4,Abril,2,T2,1,2010
108,18/04/2010,4,Abril,2,T2,1,2010
109,19/04/2010,4,Abril,2,T2,1,2010
110,20/04/2010,4,Abril,2,T2,1,2010
111,21/04/2010,4,Abril,2,T2,1,2010
112,22/04/2010,4,Abril,2,T2,1,2010
113,23/04/2010,4,Abril,2,T2,1,2010
114,24/04/2010,4,Abril,2,T2,1,2010
115,25/04/2010,4,Abril,2,T2,1,2010
116,26/04/2010,4,Abril,2,T2,1,2010
117,27/04/2010,4,Abril,2,T2,1,2010
118,28/04/2010,4,Abril,2,T2,1,2010
119,29/04/2010,4,Abril,2,T2,1,2010
120,30/04/2010,4,Abril,2,T2,1,2010
121,01/05/2010,5,Mayo,2,T2,1,2010
122,02/05/2010,5,Mayo,2,T2,1,2010
123,03/05/2010,5,Mayo,2,T2,1,2010
124,04/05/2010,5,Mayo,2,T2,1,2010
125,05/05/2010,5,Mayo,2,T2,1,2010
126,06/05/2010,5,Mayo,2,T2,1,2010
127,07/05/2010,5,Mayo,2,T2,1,2010
128,08/05/2010,5,Mayo,2,T2,1,2010
129,09/05/2010,5,Mayo,2,T2,1,2010
130,10/05/2010,5,Mayo,2,T2,1,2010
131,11/05/2010,5,Mayo,2,T2,1,2010
132,12/05/2010,5,Mayo,2,T2,1,2010
133,13/05/2010,5,Mayo,2,T2,1,2010
134,14/05/2010,5,Mayo,2,T2,1,2010
135,15/05/2010,5,Mayo,2,T2,1,2010
136,16/05/2010,5,Mayo,2,T2,1,2010
137,17/05/2010,5,Mayo,2,T2,1,2010
138,18/05/2010,5,Mayo,2,T2,1,2010
139,19/05/2010,5,Mayo,2,T2,1,2010
140,20/05/2010,5,Mayo,2,T2,1,2010
141,21/05/2010,5,Mayo,2,T2,1,2010
142,22/05/2010,5,Mayo,2,T2,1,2010
143,23/05/2010,5,Mayo,2,T2,1,2010
144,24/05/2010,5,Mayo,2,T2,1,2010
145,25/05/2010,5,Mayo,2,T2,1,2010
146,26/05/2010,5,Mayo,2,T2,1,2010
147,27/05/2010,5,Mayo,2,T2,1,2010
148,28/05/2010,5,Mayo,2,T2,1,2010
149,29/05/2010,5,Mayo,2,T2,1,2010
150,30/05/2010,5,Mayo,2,T2,1,2010
151,31/05/2010,5,Mayo,2,T2,1,2010
152,01/06/2010,6,Junio,2,T2,1,2010
153,02/06/2010,6,Junio,2,T2,1,2010
154,03/06/2010,6,Junio,2,T2,1,2010
